id,cell_nuclei_type,dataset_name,tasks,models
105,Neutrophil,PanNuke,Segmentation,Dual Path Network
106,Plasma Cell,CoNSeP,Classification,EfficientNet-B3
107,Fibroblast,Camelyon16,Detection,RefineNet
108,Epithelial,MoNuSAC,Segmentation,DenseUNet
109,Lymphocyte,TNBC,Classification,NASNet
110,Macrophage,PanNuke,Detection,YOLOv3
111,Neutrophil,CoNSeP,Segmentation,PSPNet
112,Plasma Cell,LUNG,Detection,FPN
113,Fibroblast,Camelyon17,Classification,ResNeXt
114,Epithelial,MoNuSAC,Detection,Faster R-CNN
115,Lymphocyte,PanNuke,Segmentation,UNet3+
116,Macrophage,CoNSeP,Classification,Inception-V4
117,Neutrophil,LUNG,Detection,RetinaNet
118,Plasma Cell,TNBC,Segmentation,Attn-UNet
119,Fibroblast,Camelyon16,Detection,YOLOv4
120,Epithelial,MoNuSAC,Classification,MobileNet
121,Lymphocyte,PanNuke,Detection,YOLOv5
122,Macrophage,Camelyon17,Segmentation,HRNet
123,Neutrophil,CoNSeP,Classification,VGG19
124,Plasma Cell,LUNG,Detection,SSD
125,Fibroblast,PanNuke,Segmentation,DeepLabV3+
126,Epithelial,TNBC,Detection,YOLOv4
127,Lymphocyte,MoNuSAC,Classification,ResNet50
128,Macrophage,Camelyon16,Detection,YOLOv3
129,Neutrophil,PanNuke,Segmentation,UNet++
130,Plasma Cell,LUNG,Classification,EfficientNet-B1
131,Fibroblast,TNBC,Detection,SSD
132,Epithelial,CoNSeP,Segmentation,DenseNet
133,Lymphocyte,PanNuke,Classification,Xception
134,Macrophage,MoNuSAC,Detection,RetinaNet
135,Neutrophil,Camelyon17,Segmentation,RefineNet
136,Plasma Cell,PanNuke,Detection,YOLOv5
137,Fibroblast,MoNuSAC,Classification,NASNet
138,Epithelial,LUNG,Segmentation,FPN
139,Lymphocyte,TNBC,Detection,YOLOv4
140,Macrophage,PanNuke,Classification,EfficientNet
141,Neutrophil,CoNSeP,Segmentation,UNet3+
142,Plasma Cell,Camelyon16,Detection,Faster R-CNN
143,Fibroblast,PanNuke,Classification,Inception-V3
144,Epithelial,MoNuSAC,Detection,SSD
145,Lymphocyte,LUNG,Segmentation,UNet++
146,Macrophage,CoNSeP,Classification,MobileNetV3
147,Neutrophil,Camelyon17,Detection,YOLOv5
148,Plasma Cell,PanNuke,Segmentation,HRNet
149,Fibroblast,MoNuSAC,Classification,ResNet101
150,Lymphocyte,Camelyon16,Segmentation,DeepLabV3+
151,Macrophage,PanNuke,Detection,RetinaNet
152,Neutrophil,LUNG,Classification,VGG16
153,Plasma Cell,CoNSeP,Segmentation,DenseNet
154,Fibroblast,MoNuSAC,Detection,YOLOv3
155,Epithelial,Camelyon17,Classification,Inception-ResNet
156,Lymphocyte,TNBC,Detection,SSD
157,Macrophage,PanNuke,Segmentation,UNet3+
158,Neutrophil,MoNuSAC,Classification,EfficientNet
159,Plasma Cell,Camelyon16,Detection,YOLOv5
160,Fibroblast,PanNuke,Segmentation,FPN
161,Epithelial,CoNSeP,Detection,Faster R-CNN
162,Lymphocyte,LUNG,Classification,DenseNet
163,Macrophage,PanNuke,Segmentation,HRNet
164,Neutrophil,Camelyon17,Detection,SSD
165,Plasma Cell,MoNuSAC,Classification,UNet++
166,Fibroblast,TNBC,Segmentation,DeepLabV3+
167,Epithelial,LUNG,Detection,YOLOv3
168,Macrophage,CoNSeP,Segmentation,RetinaNet
169,Neutrophil,Camelyon16,Detection,Faster R-CNN
170,Plasma Cell,MoNuSAC,Segmentation,DenseUNet
171,Fibroblast,PanNuke,Classification,ResNet50
172,Epithelial,Camelyon17,Detection,YOLOv5
173,Lymphocyte,LUNG,Segmentation,PSPNet
174,Macrophage,TNBC,Classification,EfficientNet-B0
175,Neutrophil,MoNuSAC,Detection,YOLOv4
176,Plasma Cell,PanNuke,Segmentation,DeepLabV3+
177,Fibroblast,Camelyon16,Classification,NASNet
178,Epithelial,PanNuke,Detection,SSD
179,Lymphocyte,CoNSeP,Segmentation,UNet3+
180,Macrophage,LUNG,Classification,DenseNet
181,Plasma Cell,MoNuSAC,Segmentation,FPN
182,Fibroblast,PanNuke,Classification,Inception-V4
183,Epithelial,TNBC,Detection,RetinaNet
184,Lymphocyte,Camelyon16,Segmentation,EfficientNet-B1
185,Macrophage,MoNuSAC,Classification,ResNeXt
186,Neutrophil,CoNSeP,Detection,Faster R-CNN
187,Plasma Cell,PanNuke,Segmentation,UNet++
188,Fibroblast,LUNG,Classification,VGG19
189,Epithelial,Camelyon17,Detection,YOLOv4
190,Lymphocyte,TNBC,Segmentation,PSPNet
191,Neutrophil,MoNuSAC,Detection,SSD
192,Plasma Cell,CoNSeP,Segmentation,HRNet
193,Fibroblast,Camelyon16,Classification,Inception-ResNet
194,Epithelial,LUNG,Detection,YOLOv5
195,Lymphocyte,PanNuke,Classification,ResNet101
196,Macrophage,TNBC,Segmentation,DeepLabV3+
197,Neutrophil,MoNuSAC,Classification,Xception
198,Plasma Cell,Camelyon17,Detection,YOLOv3
199,Epithelial,CoNSeP,Classification,MobileNetV3
200,Lymphocyte,LUNG,Detection,RetinaNet
201,Macrophage,PanNuke,Segmentation,UNet++
202,Neutrophil,Camelyon16,Classification,EfficientNet-B2
203,Plasma Cell,MoNuSAC,Detection,YOLOv5
204,Fibroblast,PanNuke,Segmentation,DenseNet
205,Epithelial,TNBC,Detection,SSD
206,Macrophage,LUNG,Classification,NASNet
207,Neutrophil,Camelyon17,Detection,Faster R-CNN
208,Fibroblast,MoNuSAC,Classification,ResNeXt
209,Epithelial,LUNG,Detection,YOLOv4
210,Lymphocyte,PanNuke,Segmentation,EfficientNet
211,Macrophage,Camelyon16,Detection,SSD
212,Neutrophil,MoNuSAC,Classification,Inception-V3
213,Plasma Cell,CoNSeP,Segmentation,DenseUNet
214,Fibroblast,Camelyon17,Detection,YOLOv5
215,Epithelial,TNBC,Classification,Xception
216,Lymphocyte,LUNG,Detection,YOLOv3
217,Macrophage,PanNuke,Segmentation,DeepLabV3+
218,Neutrophil,CoNSeP,Classification,EfficientNet-B3
219,Plasma Cell,MoNuSAC,Detection,RetinaNet
220,Epithelial,Camelyon16,Classification,DenseNet
221,Neutrophil,LUNG,Classification,MobileNet
222,Fibroblast,CoNSeP,Segmentation,UNet++
223,Epithelial,Camelyon17,Classification,ResNet101
224,Lymphocyte,PanNuke,Detection,SSD
225,Macrophage,TNBC,Segmentation,HRNet
226,Neutrophil,MoNuSAC,Classification,EfficientNet-B0
227,Plasma Cell,LUNG,Detection,YOLOv4
228,Fibroblast,Camelyon16,Segmentation,DenseUNet
229,Epithelial,PanNuke,Detection,YOLOv3
230,Lymphocyte,CoNSeP,Classification,Inception-V4
231,Macrophage,LUNG,Segmentation,DeepLabV3+
232,Neutrophil,Camelyon17,Detection,RetinaNet
233,Plasma Cell,MoNuSAC,Segmentation,UNet++
234,Fibroblast,PanNuke,Classification,Xception
235,Lymphocyte,LUNG,Segmentation,FPN
236,Neutrophil,CoNSeP,Detection,YOLOv5
237,Plasma Cell,Camelyon16,Segmentation,HRNet
238,Macrophage,Camelyon17,Detection,SSD
239,Plasma Cell,PanNuke,Segmentation,DenseNet
240,Fibroblast,CoNSeP,Detection,Faster R-CNN
241,Epithelial,LUNG,Classification,MobileNetV3
242,Lymphocyte,TNBC,Detection,YOLOv3
243,Epithelial,CoNSeP,Classification,NASNet
244,Lymphocyte,MoNuSAC,Detection,YOLOv3
245,Neutrophil,Camelyon16,Classification,EfficientNet-B1
246,Plasma Cell,LUNG,Detection,RetinaNet
247,Fibroblast,Camelyon17,Segmentation,FPN
248,Epithelial,TNBC,Classification,DenseNet
249,Lymphocyte,MoNuSAC,Segmentation,UNet++
250,Macrophage,PanNuke,Detection,YOLOv4
251,Neutrophil,CoNSeP,Classification,MobileNet
252,Plasma Cell,LUNG,Segmentation,DeepLabV3+
253,Fibroblast,Camelyon16,Detection,YOLOv5
254,Epithelial,PanNuke,Classification,Xception
255,Lymphocyte,CoNSeP,Detection,SSD
256,Macrophage,MoNuSAC,Segmentation,UNet3+
257,Neutrophil,LUNG,Classification,Inception-ResNet
258,Plasma Cell,PanNuke,Detection,YOLOv3
