"Cell Nuclei Type";"Dataset Name";"Tasks";"Models"
"Plasma Cell";"PanNuke";"Segmentation";"HRNet"
"Fibroblast";"MoNuSAC";"Classification";"ResNet101"
"Epithelial";"TNBC";"Detection";"YOLOv4"
"Lymphocyte";"Camelyon16";"Segmentation";"DeepLabV3+"
"Macrophage";"PanNuke";"Detection";"RetinaNet"
"Neutrophil";"LUNG";"Classification";"VGG16"
"Plasma Cell";"CoNSeP";"Segmentation";"DenseNet"
"Fibroblast";"MoNuSAC";"Detection";"YOLOv3"
"Epithelial";"Camelyon17";"Classification";"Inception-ResNet"
"Lymphocyte";"TNBC";"Detection";"SSD"
"Macrophage";"PanNuke";"Segmentation";"UNet3+"
"Neutrophil";"MoNuSAC";"Classification";"EfficientNet"
"Plasma Cell";"Camelyon16";"Detection";"YOLOv5"
"Fibroblast";"PanNuke";"Segmentation";"FPN"
"Epithelial";"CoNSeP";"Detection";"Faster R-CNN"
"Lymphocyte";"LUNG";"Classification";"DenseNet"
"Macrophage";"PanNuke";"Segmentation";"HRNet"
"Neutrophil";"Camelyon17";"Detection";"SSD"
"Plasma Cell";"MoNuSAC";"Classification";"UNet++"
"Fibroblast";"TNBC";"Segmentation";"DeepLabV3+"
"Epithelial";"LUNG";"Detection";"YOLOv3"
"Lymphocyte";"PanNuke";"Classification";"Xception"
"Macrophage";"CoNSeP";"Segmentation";"RetinaNet"
"Neutrophil";"Camelyon16";"Detection";"Faster R-CNN"
"Plasma Cell";"MoNuSAC";"Segmentation";"DenseUNet"
"Fibroblast";"PanNuke";"Classification";"ResNet50"
"Epithelial";"Camelyon17";"Detection";"YOLOv5"
"Lymphocyte";"LUNG";"Segmentation";"PSPNet"
"Macrophage";"TNBC";"Classification";"EfficientNet-B0"
"Neutrophil";"MoNuSAC";"Detection";"YOLOv4"
"Plasma Cell";"PanNuke";"Segmentation";"DeepLabV3+"
"Fibroblast";"Camelyon16";"Classification";"NASNet"
"Epithelial";"PanNuke";"Detection";"SSD"
"Lymphocyte";"CoNSeP";"Segmentation";"UNet3+"
"Macrophage";"LUNG";"Classification";"DenseNet"
"Neutrophil";"Camelyon17";"Detection";"YOLOv5"
"Plasma Cell";"MoNuSAC";"Segmentation";"FPN"
"Fibroblast";"PanNuke";"Classification";"Inception-V4"
"Epithelial";"TNBC";"Detection";"RetinaNet"
"Lymphocyte";"Camelyon16";"Segmentation";"EfficientNet-B1"
"Macrophage";"MoNuSAC";"Classification";"ResNeXt"
"Neutrophil";"CoNSeP";"Detection";"Faster R-CNN"
"Plasma Cell";"PanNuke";"Segmentation";"UNet++"
"Fibroblast";"LUNG";"Classification";"VGG19"
"Epithelial";"Camelyon17";"Detection";"YOLOv4"
"Lymphocyte";"TNBC";"Segmentation";"PSPNet"
"Macrophage";"PanNuke";"Classification";"EfficientNet"
"Neutrophil";"MoNuSAC";"Detection";"SSD"
"Plasma Cell";"CoNSeP";"Segmentation";"HRNet"
"Fibroblast";"Camelyon16";"Classification";"Inception-ResNet"
"Epithelial";"LUNG";"Detection";"YOLOv5"
"Lymphocyte";"PanNuke";"Classification";"ResNet101"
"Macrophage";"TNBC";"Segmentation";"DeepLabV3+"
"Neutrophil";"MoNuSAC";"Classification";"Xception"
"Plasma Cell";"Camelyon17";"Detection";"YOLOv3"
"Fibroblast";"PanNuke";"Segmentation";"FPN"
"Epithelial";"CoNSeP";"Classification";"MobileNetV3"
"Lymphocyte";"LUNG";"Detection";"RetinaNet"
"Macrophage";"PanNuke";"Segmentation";"UNet++"
"Neutrophil";"Camelyon16";"Classification";"EfficientNet-B2"
"Plasma Cell";"MoNuSAC";"Detection";"YOLOv5"
"Fibroblast";"PanNuke";"Segmentation";"DenseNet"
"Epithelial";"TNBC";"Detection";"SSD"
"Lymphocyte";"CoNSeP";"Segmentation";"UNet3+"
"Macrophage";"LUNG";"Classification";"NASNet"
"Neutrophil";"Camelyon17";"Detection";"Faster R-CNN"
"Plasma Cell";"PanNuke";"Segmentation";"HRNet"
"Fibroblast";"MoNuSAC";"Classification";"ResNeXt"
"Epithelial";"LUNG";"Detection";"YOLOv4"
"Lymphocyte";"PanNuke";"Segmentation";"EfficientNet"
"Macrophage";"Camelyon16";"Detection";"SSD"
"Neutrophil";"MoNuSAC";"Classification";"Inception-V3"
"Plasma Cell";"CoNSeP";"Segmentation";"DenseUNet"
"Fibroblast";"Camelyon17";"Detection";"YOLOv5"
"Epithelial";"TNBC";"Classification";"Xception"
"Lymphocyte";"LUNG";"Detection";"YOLOv3"
"Macrophage";"PanNuke";"Segmentation";"DeepLabV3+"
"Neutrophil";"CoNSeP";"Classification";"EfficientNet-B3"
"Plasma Cell";"MoNuSAC";"Detection";"RetinaNet"
"Fibroblast";"PanNuke";"Segmentation";"FPN"
"Epithelial";"Camelyon16";"Classification";"DenseNet"
"Lymphocyte";"TNBC";"Detection";"YOLOv4"
"Macrophage";"PanNuke";"Segmentation";"UNet3+"
"Neutrophil";"LUNG";"Classification";"MobileNet"
"Plasma Cell";"MoNuSAC";"Detection";"YOLOv5"
"Fibroblast";"CoNSeP";"Segmentation";"UNet++"
"Epithelial";"Camelyon17";"Classification";"ResNet101"
"Lymphocyte";"PanNuke";"Detection";"SSD"
"Macrophage";"TNBC";"Segmentation";"HRNet"
"Neutrophil";"MoNuSAC";"Classification";"EfficientNet-B0"
"Plasma Cell";"LUNG";"Detection";"YOLOv4"
"Fibroblast";"Camelyon16";"Segmentation";"DenseUNet"
"Epithelial";"PanNuke";"Detection";"YOLOv3"
"Lymphocyte";"CoNSeP";"Classification";"Inception-V4"
"Macrophage";"LUNG";"Segmentation";"DeepLabV3+"
"Neutrophil";"Camelyon17";"Detection";"RetinaNet"
"Plasma Cell";"MoNuSAC";"Segmentation";"UNet++"
"Fibroblast";"PanNuke";"Classification";"Xception"
"Epithelial";"TNBC";"Detection";"SSD"
"Lymphocyte";"LUNG";"Segmentation";"FPN"
"Macrophage";"PanNuke";"Classification";"EfficientNet"
"Neutrophil";"CoNSeP";"Detection";"YOLOv5"
"Plasma Cell";"Camelyon16";"Segmentation";"HRNet"
"Fibroblast";"MoNuSAC";"Classification";"ResNeXt"
"Epithelial";"LUNG";"Detection";"YOLOv4"
"Lymphocyte";"PanNuke";"Segmentation";"UNet3+"
"Macrophage";"Camelyon17";"Detection";"SSD"
"Neutrophil";"MoNuSAC";"Classification";"Inception-V3"
"Plasma Cell";"PanNuke";"Segmentation";"DenseNet"
"Fibroblast";"CoNSeP";"Detection";"Faster R-CNN"
"Epithelial";"LUNG";"Classification";"MobileNetV3"
"Lymphocyte";"TNBC";"Detection";"YOLOv3"
"Macrophage";"PanNuke";"Segmentation";"DeepLabV3+"
"Neutrophil";"MoNuSAC";"Classification";"EfficientNet"
"Plasma Cell";"Camelyon16";"Detection";"YOLOv5"
"Fibroblast";"PanNuke";"Segmentation";"UNet++"

"Epithelial";"CoNSeP";"Classification";"NASNet"
"Lymphocyte";"MoNuSAC";"Detection";"YOLOv3"
"Macrophage";"PanNuke";"Segmentation";"HRNet"
"Neutrophil";"Camelyon16";"Classification";"EfficientNet-B1"
"Plasma Cell";"LUNG";"Detection";"RetinaNet"
"Fibroblast";"Camelyon17";"Segmentation";"FPN"
"Epithelial";"TNBC";"Classification";"DenseNet"
"Lymphocyte";"MoNuSAC";"Segmentation";"UNet++"
"Macrophage";"PanNuke";"Detection";"YOLOv4"
"Neutrophil";"CoNSeP";"Classification";"MobileNet"
"Plasma Cell";"LUNG";"Segmentation";"DeepLabV3+"
"Fibroblast";"Camelyon16";"Detection";"YOLOv5"
"Epithelial";"PanNuke";"Classification";"Xception"
"Lymphocyte";"CoNSeP";"Detection";"SSD"
"Macrophage";"MoNuSAC";"Segmentation";"UNet3+"
"Neutrophil";"LUNG";"Classification";"Inception-ResNet"
"Plasma Cell";"PanNuke";"Detection";"YOLOv3"
"Fibroblast";"TNBC";"Segmentation";"EfficientNet"
"Epithelial";"Camelyon17";"Classification";"ResNet101"
"Lymphocyte";"MoNuSAC";"Detection";"RetinaNet"
"Macrophage";"PanNuke";"Segmentation";"HRNet"
"Neutrophil";"CoNSeP";"Classification";"EfficientNet-B0"
"Plasma Cell";"LUNG";"Detection";"YOLOv4"
"Fibroblast";"Camelyon16";"Segmentation";"DenseUNet"
"Epithelial";"MoNuSAC";"Detection";"YOLOv5"
"Lymphocyte";"PanNuke";"Classification";"ResNeXt"
"Macrophage";"Camelyon17";"Segmentation";"FPN"
"Neutrophil";"TNBC";"Detection";"SSD"
"Plasma Cell";"PanNuke";"Classification";"Inception-V3"
"Fibroblast";"CoNSeP";"Segmentation";"UNet++"
"Epithelial";"LUNG";"Detection";"YOLOv3"
"Lymphocyte";"Camelyon16";"Classification";"NASNet"
"Macrophage";"MoNuSAC";"Segmentation";"DeepLabV3+"
"Neutrophil";"PanNuke";"Detection";"YOLOv4"
"Plasma Cell";"CoNSeP";"Classification";"MobileNetV3"
"Fibroblast";"LUNG";"Segmentation";"HRNet"
"Epithelial";"TNBC";"Detection";"Faster R-CNN"
"Lymphocyte";"PanNuke";"Segmentation";"UNet3+"
"Macrophage";"Camelyon17";"Classification";"EfficientNet-B2"
"Neutrophil";"MoNuSAC";"Detection";"SSD"
"Plasma Cell";"PanNuke";"Segmentation";"DenseNet"
"Fibroblast";"CoNSeP";"Detection";"YOLOv5"
"Epithelial";"LUNG";"Classification";"Inception-V4"
"Lymphocyte";"Camelyon16";"Detection";"RetinaNet"
"Macrophage";"MoNuSAC";"Segmentation";"UNet++"
"Neutrophil";"PanNuke";"Classification";"Xception"
"Plasma Cell";"Camelyon17";"Detection";"YOLOv4"
"Fibroblast";"TNBC";"Segmentation";"DeepLabV3+"
"Epithelial";"CoNSeP";"Classification";"ResNet50"
"Lymphocyte";"LUNG";"Detection";"YOLOv3"
"Macrophage";"PanNuke";"Segmentation";"EfficientNet"
"Neutrophil";"MoNuSAC";"Classification";"MobileNet"
"Plasma Cell";"CoNSeP";"Detection";"YOLOv5"
"Fibroblast";"Camelyon16";"Segmentation";"HRNet"
"Epithelial";"PanNuke";"Detection";"SSD"
"Lymphocyte";"MoNuSAC";"Segmentation";"UNet3+"
"Macrophage";"Camelyon17";"Classification";"DenseNet"
"Neutrophil";"LUNG";"Detection";"YOLOv4"
"Plasma Cell";"PanNuke";"Segmentation";"FPN"
"Fibroblast";"TNBC";"Classification";"NASNet"
"Epithelial";"CoNSeP";"Detection";"RetinaNet"
"Lymphocyte";"MoNuSAC";"Segmentation";"DenseUNet"
"Macrophage";"Camelyon16";"Detection";"YOLOv5"
"Neutrophil";"PanNuke";"Classification";"Inception-V3"
"Plasma Cell";"LUNG";"Detection";"Faster R-CNN"
"Fibroblast";"Camelyon17";"Segmentation";"UNet++"
"Epithelial";"TNBC";"Classification";"EfficientNet-B1"
"Lymphocyte";"MoNuSAC";"Detection";"SSD"
"Macrophage";"PanNuke";"Segmentation";"HRNet"
"Neutrophil";"CoNSeP";"Classification";"ResNet101"
"Plasma Cell";"LUNG";"Detection";"YOLOv4"
"Fibroblast";"Camelyon16";"Segmentation";"DeepLabV3+"
"Epithelial";"MoNuSAC";"Detection";"YOLOv3"
"Lymphocyte";"PanNuke";"Classification";"Xception"
"Macrophage";"Camelyon17";"Segmentation";"DenseNet"
"Neutrophil";"TNBC";"Detection";"RetinaNet"
"Plasma Cell";"MoNuSAC";"Segmentation";"UNet++"
"Fibroblast";"PanNuke";"Classification";"Inception-ResNet"
"Epithelial";"CoNSeP";"Detection";"YOLOv5"
"Lymphocyte";"LUNG";"Segmentation";"EfficientNet"
"Macrophage";"Camelyon16";"Classification";"MobileNetV3"
"Neutrophil";"PanNuke";"Detection";"SSD"
"Plasma Cell";"MoNuSAC";"Segmentation";"HRNet"
"Fibroblast";"Camelyon17";"Classification";"DenseUNet"
"Epithelial";"TNBC";"Detection";"YOLOv4"
"Lymphocyte";"PanNuke";"Segmentation";"UNet3+"
"Macrophage";"CoNSeP";"Classification";"EfficientNet-B2"
"Neutrophil";"LUNG";"Detection";"YOLOv3"
"Plasma Cell";"MoNuSAC";"Segmentation";"DenseNet"
"Fibroblast";"Camelyon16";"Detection";"RetinaNet"
"Epithelial";"PanNuke";"Classification";"Xception"
"Lymphocyte";"MoNuSAC";"Segmentation";"UNet++"
"Macrophage";"Camelyon17";"Detection";"YOLOv5"
"Neutrophil";"TNBC";"Classification";"NASNet"
"Plasma Cell";"CoNSeP";"Segmentation";"FPN"
"Fibroblast";"LUNG";"Detection";"Faster R-CNN"
"Epithelial";"PanNuke";"Segmentation";"HRNet"
"Lymphocyte";"Camelyon16";"Classification";"DenseNet"
"Macrophage";"MoNuSAC";"Detection";"YOLOv3"
"Neutrophil";"PanNuke";"Segmentation";"EfficientNet"
"Plasma Cell";"Camelyon17";"Classification";"MobileNet"
"Fibroblast";"TNBC";"Detection";"SSD"
"Epithelial";"LUNG";"Segmentation";"UNet++"
"Lymphocyte";"MoNuSAC";"Classification";"Inception-V4"
"Macrophage";"PanNuke";"Detection";"YOLOv4"
"Neutrophil";"CoNSeP";"Segmentation";"DeepLabV3+"
"Plasma Cell";"LUNG";"Detection";"RetinaNet"
"Fibroblast";"Camelyon16";"Segmentation";"HRNet"
"Epithelial";"MoNuSAC";"Classification";"EfficientNet-B0"
"Lymphocyte";"PanNuke";"Detection";"YOLOv5"
"Macrophage";"Camelyon17";"Segmentation";"DenseUNet"
"Neutrophil";"TNBC";"Classification";"NASNet"
"Plasma Cell";"CoNSeP";"Detection";"Faster R-CNN"
"Fibroblast";"LUNG";"Segmentation";"FPN"
"Epithelial";"PanNuke";"Classification";"Xception"
"Lymphocyte";"MoNuSAC";"Segmentation";"UNet3+"
"Macrophage";"Camelyon16";"Detection";"YOLOv3"
"Neutrophil";"PanNuke";"Classification";"Inception-ResNet"
"Plasma Cell";"Camelyon17";"Segmentation";"HRNet"
"Fibroblast";"TNBC";"Detection";"RetinaNet"
"Epithelial";"LUNG";"Segmentation";"DeepLabV3+"
"Lymphocyte";"MoNuSAC";"Detection";"YOLOv4"
"Macrophage";"PanNuke";"Classification";"EfficientNet"
"Neutrophil";"CoNSeP";"Detection";"YOLOv5"
"Plasma Cell";"LUNG";"Segmentation";"DenseNet"
"Fibroblast";"Camelyon16";"Classification";"MobileNetV3"
"Epithelial";"MoNuSAC";"Detection";"SSD"
"Lymphocyte";"PanNuke";"Segmentation";"FPN"
"Macrophage";"Camelyon17";"Classification";"ResNet101"
"Neutrophil";"TNBC";"Detection";"YOLOv3"
"Plasma Cell";"MoNuSAC";"Segmentation";"UNet++"
"Fibroblast";"PanNuke";"Classification";"Inception-V4"
